hidden_neurons,hidden_layers,activation,learning_rate,batch_size,num_epochs,dropout_prob,test_score
16,32,leaky_relu,0.001,512,20,0.2,-0.000149279
2,16,leaky_relu,0.001,1024,20,0.5,-0.000109814
16,32,leaky_relu,0.001,512,20,0.1,-9.24E-05
4,16,leaky_relu,0.001,512,20,0.1,-8.85E-05
2,8,leaky_relu,0.001,512,20,0.4,-8.79E-05
1,16,leaky_relu,0.001,512,20,0.5,-7.71E-05
16,32,leaky_relu,0.001,1024,20,0.5,-7.20E-05
2,16,leaky_relu,0.001,1024,20,0.1,-7.03E-05
1,32,leaky_relu,0.001,512,20,0.3,-6.78E-05
4,32,leaky_relu,0.001,1024,20,0.5,-6.58E-05
1,8,leaky_relu,0.001,1024,20,0.3,-6.48E-05
1,16,leaky_relu,0.001,512,20,0.3,-5.95E-05
16,32,leaky_relu,0.001,512,20,0.3,-5.95E-05
8,32,leaky_relu,0.001,1024,20,0.5,-5.36E-05
16,32,leaky_relu,0.001,1024,20,0.2,-5.27E-05
8,32,leaky_relu,0.001,512,20,0.3,-5.03E-05
8,16,leaky_relu,0.001,512,20,0.5,-4.55E-05
2,16,leaky_relu,0.001,512,20,0.3,-4.51E-05
4,16,leaky_relu,0.001,1024,20,0.5,-4.43E-05
16,16,leaky_relu,0.001,1024,20,0.3,-4.24E-05
1,8,leaky_relu,0.001,512,20,0.3,-4.06E-05
1,32,leaky_relu,0.001,512,20,0.5,-3.77E-05
1,8,leaky_relu,0.001,512,20,0.1,-3.64E-05
1,8,leaky_relu,0.001,1024,20,0.5,-3.54E-05
4,32,leaky_relu,0.001,1024,20,0.4,-3.51E-05
2,8,leaky_relu,0.001,512,20,0.2,-3.22E-05
8,16,leaky_relu,0.001,1024,20,0.1,-3.18E-05
8,32,leaky_relu,0.001,512,20,0.2,-3.00E-05
4,16,leaky_relu,0.001,1024,20,0.4,-2.92E-05
8,32,leaky_relu,0.001,512,20,0.4,-2.76E-05
4,8,leaky_relu,0.001,1024,20,0.1,-2.46E-05
1,8,leaky_relu,0.001,1024,20,0.4,-2.45E-05
2,32,leaky_relu,0.001,1024,20,0.2,-2.29E-05
4,8,leaky_relu,0.001,1024,20,0.4,-2.24E-05
16,16,leaky_relu,0.001,1024,20,0.5,-1.97E-05
1,4,leaky_relu,0.001,512,20,0.1,-1.93E-05
1,32,leaky_relu,0.001,1024,20,0.3,-1.85E-05
4,32,leaky_relu,0.001,1024,20,0.2,-1.79E-05
1,16,leaky_relu,0.001,512,20,0.1,-1.77E-05
1,32,leaky_relu,0.001,512,20,0.2,-1.73E-05
2,32,leaky_relu,0.001,512,20,0.4,-1.72E-05
16,32,leaky_relu,0.001,512,20,0.5,-1.68E-05
8,32,leaky_relu,0.001,1024,20,0.2,-1.66E-05
8,32,leaky_relu,0.001,512,20,0.1,-1.60E-05
8,32,leaky_relu,0.001,1024,20,0.4,-1.59E-05
8,16,leaky_relu,0.001,512,20,0.2,-1.53E-05
16,16,leaky_relu,0.001,512,20,0.1,-1.50E-05
2,8,leaky_relu,0.001,512,20,0.5,-1.48E-05
4,32,leaky_relu,0.001,512,20,0.5,-1.44E-05
16,32,leaky_relu,0.001,1024,20,0.3,-1.43E-05
1,16,leaky_relu,0.001,1024,20,0.4,-1.43E-05
1,8,leaky_relu,0.001,1024,20,0.1,-1.31E-05
4,32,leaky_relu,0.0001,512,20,0.5,-1.30E-05
2,8,leaky_relu,0.001,1024,20,0.2,-1.28E-05
2,16,leaky_relu,0.001,512,20,0.1,-1.24E-05
8,16,leaky_relu,0.001,1024,20,0.5,-1.15E-05
8,16,leaky_relu,0.001,512,20,0.3,-1.14E-05
2,8,leaky_relu,0.001,1024,20,0.1,-1.09E-05
1,16,leaky_relu,0.001,1024,20,0.1,-9.94E-06
1,8,leaky_relu,0.0001,512,20,0.4,-9.57E-06
2,32,leaky_relu,0.001,1024,20,0.3,-9.45E-06
2,32,leaky_relu,0.001,1024,20,0.5,-9.18E-06
1,8,leaky_relu,0.001,512,20,0.2,-9.11E-06
2,16,leaky_relu,0.001,1024,20,0.2,-8.89E-06
1,16,leaky_relu,0.001,1024,20,0.5,-8.65E-06
1,8,leaky_relu,0.001,512,20,0.5,-8.55E-06
8,16,leaky_relu,0.001,512,20,0.4,-8.44E-06
2,32,leaky_relu,0.0001,512,20,0.3,-8.39E-06
2,16,leaky_relu,0.001,512,20,0.4,-8.06E-06
8,16,leaky_relu,0.0001,1024,20,0.5,-7.99E-06
1,16,leaky_relu,0.001,1024,20,0.2,-7.87E-06
2,32,leaky_relu,0.001,512,20,0.2,-7.64E-06
4,32,leaky_relu,0.001,512,20,0.4,-7.43E-06
2,32,leaky_relu,0.001,512,20,0.5,-7.16E-06
4,32,leaky_relu,0.001,1024,20,0.3,-6.52E-06
1,32,leaky_relu,0.0001,512,20,0.5,-6.45E-06
16,32,leaky_relu,0.0001,512,20,0.5,-6.13E-06
16,32,leaky_relu,0.001,1024,20,0.4,-6.10E-06
4,16,leaky_relu,0.001,1024,20,0.2,-6.06E-06
4,8,leaky_relu,0.0001,512,20,0.5,-5.75E-06
4,32,leaky_relu,0.001,1024,20,0.1,-5.25E-06
2,8,leaky_relu,0.001,512,20,0.1,-4.74E-06
1,8,leaky_relu,0.0001,512,20,0.5,-4.70E-06
1,32,leaky_relu,0.0001,512,20,0.4,-4.58E-06
16,16,leaky_relu,0.001,1024,20,0.4,-4.27E-06
8,32,leaky_relu,0.001,1024,20,0.3,-4.07E-06
2,32,leaky_relu,0.0001,1024,20,0.5,-4.03E-06
8,32,leaky_relu,0.001,1024,20,0.1,-3.82E-06
16,16,leaky_relu,0.001,1024,20,0.1,-3.81E-06
4,32,leaky_relu,0.0001,512,20,0.1,-3.79E-06
16,16,leaky_relu,0.001,512,20,0.4,-3.77E-06
8,16,leaky_relu,0.001,512,20,0.1,-3.71E-06
8,16,leaky_relu,0.001,1024,20,0.2,-3.64E-06
1,8,leaky_relu,0.001,1024,20,0.2,-3.60E-06
16,32,leaky_relu,0.0001,1024,20,0.3,-3.44E-06
1,16,leaky_relu,0.0001,1024,20,0.4,-3.43E-06
2,16,leaky_relu,0.0001,512,20,0.2,-3.37E-06
1,8,leaky_relu,0.001,512,20,0.4,-3.25E-06
16,16,leaky_relu,0.0001,1024,20,0.1,-3.22E-06
2,16,leaky_relu,0.0001,512,20,0.4,-3.16E-06
1,16,leaky_relu,0.0001,1024,20,0.3,-3.09E-06
1,32,leaky_relu,0.001,512,20,0.1,-2.76E-06
4,32,leaky_relu,0.001,512,20,0.2,-2.65E-06
