hidden_neurons,hidden_layers,activation,learning_rate,batch_size,num_epochs,dropout_prob,val_score
64,16,leaky_relu,0.01,1024,20,0.1,-169696094.9
4,16,leaky_relu,0.01,1024,20,0.1,-0.000623825
4,16,leaky_relu,0.005,1024,20,0,-0.000553626
2,8,leaky_relu,0.01,1024,20,0.1,-0.000200352
8,16,leaky_relu,0.005,1024,20,0,-0.00014215
16,16,leaky_relu,0.01,1024,20,0,-0.000128098
16,16,leaky_relu,0.005,1024,20,0,-7.29E-05
2,16,leaky_relu,0.001,1024,20,0,-5.55E-05
2,16,leaky_relu,0.005,1024,20,0.1,-4.24E-05
4,8,leaky_relu,0.005,1024,20,0.1,-3.68E-05
4,16,leaky_relu,0.001,1024,20,0.1,-3.05E-05
2,8,leaky_relu,0.005,1024,20,0,-3.04E-05
2,16,leaky_relu,0.01,1024,20,0.1,-2.74E-05
16,16,leaky_relu,0.001,1024,20,0,-2.69E-05
8,16,leaky_relu,0.001,1024,20,0.1,-2.26E-05
32,16,leaky_relu,0.005,1024,20,0.1,-1.87E-05
4,8,leaky_relu,0.005,1024,20,0,-1.28E-05
4,8,leaky_relu,0.001,1024,20,0,-8.33E-06
8,16,leaky_relu,0.01,1024,20,0.1,-8.09E-06
4,16,leaky_relu,0.01,1024,20,0,-6.64E-06
2,16,leaky_relu,0.005,1024,20,0,-6.17E-06
2,8,leaky_relu,0.001,1024,20,0,-4.34E-06
16,16,leaky_relu,0.001,1024,20,0.1,-3.11E-06
8,16,leaky_relu,0.005,1024,20,0.1,-9.86E-07
2,8,leaky_relu,0.01,1024,20,0,-2.72E-07
4,16,leaky_relu,0.001,1024,20,0,-9.42E-08
64,8,leaky_relu,0.01,1024,20,0.1,0.669421478
64,16,leaky_relu,0.001,1024,20,0.1,0.718650102
16,16,leaky_relu,0.01,1024,20,0.1,0.724517394
4,2,leaky_relu,0.001,1024,20,0.1,0.772933426
8,8,leaky_relu,0.01,1024,20,0.1,0.80500318
32,16,leaky_relu,0.001,1024,20,0.1,0.819330132
64,16,leaky_relu,0.005,1024,20,0.1,0.84561117
16,8,leaky_relu,0.005,1024,20,0.1,0.863149397
32,8,leaky_relu,0.005,1024,20,0.1,0.872193898
4,8,leaky_relu,0.01,1024,20,0.1,0.877203677
64,8,leaky_relu,0.005,1024,20,0.1,0.877938864
32,8,leaky_relu,0.001,1024,20,0.1,0.879615215
16,8,leaky_relu,0.01,1024,20,0.1,0.886803378
2,4,leaky_relu,0.001,1024,20,0.1,0.892673343
2,4,leaky_relu,0.005,1024,20,0.1,0.896886151
2,2,leaky_relu,0.001,1024,20,0,0.897460961
2,2,leaky_relu,0.005,1024,20,0.1,0.90849399
2,2,leaky_relu,0.01,1024,20,0.1,0.914418157
8,8,leaky_relu,0.005,1024,20,0.1,0.918051133
8,4,leaky_relu,0.01,1024,20,0.1,0.923238976
8,4,leaky_relu,0.005,1024,20,0.1,0.926888585
4,4,leaky_relu,0.001,1024,20,0.1,0.930573837
8,8,leaky_relu,0.001,1024,20,0.1,0.931031916
16,4,leaky_relu,0.005,1024,20,0.1,0.933703035
4,4,leaky_relu,0.005,1024,20,0.1,0.935194846
2,4,leaky_relu,0.001,1024,20,0,0.935452547
32,4,leaky_relu,0.005,1024,20,0.1,0.93626909
4,2,leaky_relu,0.005,1024,20,0.1,0.939258034
2,4,leaky_relu,0.01,1024,20,0,0.940538098
2,2,leaky_relu,0.01,1024,20,0,0.942630783
64,4,leaky_relu,0.001,1024,20,0.1,0.94310726
2,4,leaky_relu,0.005,1024,20,0,0.945845537
4,2,leaky_relu,0.005,1024,20,0,0.947681708
16,4,leaky_relu,0.001,1024,20,0.1,0.948015885
8,2,leaky_relu,0.01,1024,20,0.1,0.9511239
8,2,leaky_relu,0.005,1024,20,0.1,0.951583904
8,2,leaky_relu,0.001,1024,20,0.1,0.953005557
4,4,leaky_relu,0.005,1024,20,0,0.954947234
4,2,leaky_relu,0.001,1024,20,0,0.955196487
16,2,leaky_relu,0.01,1024,20,0.1,0.955748378
4,2,leaky_relu,0.01,1024,20,0,0.956938726
4,4,leaky_relu,0.001,1024,20,0,0.958885009
64,2,leaky_relu,0.005,1024,20,0.1,0.958923495
16,2,leaky_relu,0.005,1024,20,0.1,0.959473844
4,4,leaky_relu,0.01,1024,20,0,0.959774638
64,2,leaky_relu,0.01,1024,20,0.1,0.960512269
64,16,leaky_relu,0.005,1024,20,0,0.961272005
16,2,leaky_relu,0.001,1024,20,0.1,0.961617529
64,2,leaky_relu,0.001,1024,20,0.1,0.962474067
8,2,leaky_relu,0.001,1024,20,0,0.963052114
4,8,leaky_relu,0.01,1024,20,0,0.963765265
8,8,leaky_relu,0.001,1024,20,0,0.964135822
16,2,leaky_relu,0.001,1024,20,0,0.964798075
8,2,leaky_relu,0.01,1024,20,0,0.964811581
8,4,leaky_relu,0.001,1024,20,0,0.964852059
